name,positions,age,nationality
Nacer Chadli,"Attacking Midfielder (Centre, Left, Right)",28 years old (02-08-1989),Belgium
Ben Foster,Goalkeeper,34 years old (03-04-1983),England
Salomón Rondón,Forward,27 years old (16-09-1989),Venezuela
Marc Wilson,Midfielder (Centre),19 years old (08-05-1998),England
James McClean,"Attacking Midfielder (Centre, Left, Right) 
 Forward",28 years old (22-04-1989),Ireland
James Morrison,"Midfielder (Centre, Right)",31 years old (25-05-1986),Scotland
Darren Fletcher,Midfielder (Centre),33 years old (01-02-1984),Scotland
Jake Livermore,"Defender (Centre) 
 Defensive Midfielder (C)",27 years old (14-11-1989),England
Jonas Olsson,Defender (Centre),34 years old (10-03-1983),Sweden
Rickie Lambert,Forward,35 years old (16-02-1982),England
Hal Robson-Kanu,"Attacking Midfielder (Left, Right) 
 Forward",28 years old (21-05-1989),Wales
Craig Gardner,"Defender (Right) 
 Midfielder (Centre, Left, Right)",30 years old (25-11-1986),England
Sam Field,Midfielder (Centre),19 years old (08-05-1998),England
Jonathan Leko,Midfielder (Centre),19 years old (08-05-1998),England
Saido Berahino,"Attacking Midfielder (Centre, Left, Right) 
 Forward",24 years old (04-08-1993),England
Dimitri Payet,"Midfielder (Centre, Left, Right)",30 years old (29-03-1987),France
Andy Carroll,Forward,28 years old (06-01-1989),England
Michail Antonio,Midfielder (Centre),19 years old (08-05-1998),England
Arthur Masuaku,"Defender (Left) 
 Midfielder (Left)",23 years old (07-11-1993),France
Manuel Lanzini,"Attacking Midfielder (Centre, Left, Right)",24 years old (15-02-1993),Argentina
Winston Reid,Defender (Centre),29 years old (03-07-1988),New Zealand
Cheikhou Kouyaté,"Defender (Centre, Right) 
 Defensive Midfielder (C)",27 years old (21-12-1989),Senegal
James Collins,Defender (Centre),34 years old (23-08-1983),Wales
José Fonte,Defender (Centre),33 years old (22-12-1983),Portugal
Pedro Obiang,Defensive Midfielder (C),25 years old (27-03-1992),Spain
Angelo Ogbonna,Defender (Centre),29 years old (23-05-1988),Italy
Adrián,Goalkeeper,30 years old (03-01-1987),Spain
Darren Randolph,Goalkeeper,30 years old (12-05-1987),Ireland
Sofiane Feghouli,Midfielder (Right),27 years old (26-12-1989),Algeria
André Ayew,"Midfielder (Centre, Left, Right) 
 Forward",27 years old (17-12-1989),Ghana
Mark Noble,Midfielder (Centre),30 years old (08-05-1987),England
Sam Byram,"Defender (Right) 
 Midfielder (Right)",23 years old (16-09-1993),England
Álvaro Arbeloa,"Defender (Left, Right)",34 years old (17-01-1983),Spain
Håvard Nordtveit,"Defender (Centre, Right) 
 Defensive Midfielder (C)",27 years old (21-06-1990),Norway
Aaron Cresswell,"Defender (Left) 
 Midfielder (Left)",27 years old (15-12-1989),England
Robert Snodgrass,"Attacking Midfielder (Centre, Left, Right)",29 years old (07-09-1987),Scotland
Diafra Sakho,Forward,27 years old (24-12-1989),Senegal
Simone Zaza,Forward,26 years old (25-06-1991),Italy
Gökhan Töre,Midfielder (Right),25 years old (20-01-1992),Turkey
Edimilson Fernandes,Midfielder (Centre),21 years old (15-04-1996),Switzerland
Jonathan Calleri,Forward,23 years old (23-09-1993),Argentina
Ashley Fletcher,Forward,21 years old (02-10-1995),England
Wilfred Ndidi,Defensive Midfielder (C),20 years old (16-12-1996),Nigeria
